"lonc","latc","depthc","length","width","strike","dip","rake","slip"
95.5951747756887,2.38248791167583,11.6824088833465,100,100,315,10,95,0
96.2251735342601,3.01247541224066,28.6824088833465,100,100,315,10,95,4.3
94.8951734894527,3.0324750026142,11.6824088833465,100,100,315,10,95,24.6
95.5951719904023,3.6324623467645,28.6824088833465,100,100,315,10,95,0
94.2049212504704,3.82407352172295,11.6824088833465,100,100,325,10,100,24.6
94.9349847321627,4.33406411374628,28.6824088833465,100,100,325,10,100,12.3
93.658966421472,4.61271736253931,11.6824088833465,100,100,330,10,105,12.8
94.4290658400901,5.05270930242298,28.6824088833465,100,100,330,10,105,1.8
93.263178470219,5.47614957839891,11.6824088833465,100,100,340,10,105,1.9
94.0633569286478,5.8761426260024,28.6824088833465,100,100,340,10,105,4.5
92.9635794221564,6.38667650445665,11.6824088833465,100,100,342,10,100,6
93.7837637030854,6.71667017720449,28.6824088833465,100,100,342,10,100,3.2
92.6440969340918,7.29611463968832,11.6824088833465,100,100,340,10,95,6.5
93.484274678495,7.5961080703142,28.6824088833465,100,100,340,10,95,0
92.313992795142,8.22895695634256,11.6824088833465,100,100,337,10,85,7.1
93.134206740007,8.58894795915083,28.6824088833465,100,100,337,10,85,3.5
92.0021287032855,9.12201207941609,11.6824088833465,100,100,350,10,99,3.2
91.9592295094781,10.0520524817377,11.6824088833465,100,100,0,10,106,2.7
92.0033989515803,11.0283349470206,11.6824088833465,100,100,10,10,115,0
92.1550808641433,11.9283070121913,11.6824088833465,100,100,10,10,115,0
92.3376674131557,12.832052886233,11.6824088833465,100,100,15,10,120,0
92.6185442795936,13.7325719521905,11.6824088833465,100,100,25,10,130,1
