Site, lat, lon
abellpoint,-20.2608,148.7103
coombabahst,-27.9184,153.3442
courancove,-27.8245,153.4086
hallsbay,-26.8797,153.1170
husseycreek,-26.9244,153.0706
maroochydore,-26.6431,153.0888
roeskamp,-27.8993,153.4190
russellislande,-27.7096,153.3918
russellislandw,-27.7043,153.3611
seaforth,-20.9010,148.9824
tangalooma,-27.1780,153.3710
theskids,-26.9041,153.0791
townsvillecard,-19.1266,146.9095
tweedsbj,-28.1721,153.5577
wavebreaknc,-27.9318,153.4197
wavebreakwc,-27.9382,153.4096
whyteislandnx,-27.4017,153.1574
