"unique_mw","mean_optimal_samples_IS_including_constant"
7.2,12
7.3,12
7.4,12
7.5,12
7.6,12
7.7,12
7.8,16.0365014422478
7.9,19.0508659494134
8,21.7569635260464
8.1,32.101113823568
8.2,36.2417676213314
8.3,48.0714807746709
8.4,51.7250658756295
8.5,54.8539261839917
8.6,65.1284451022859
8.7,65.6515035892591
8.8,72.3892389280231
8.9,96.4797890149205
9,99.7050474580734
9.1,86.4211628435232
9.2,130.260155294201
9.3,83.0960651091504
9.4,74.3068896329113
9.5,43.6984525414224
9.6,31.0255652893309
9.7,0
9.8,0
