"month","mean_sea_level","max_sea_level"
"2014-08",1.3394,1.3394
"2014-09",1.02385248072604,1.8484
"2014-10",1.00093234410723,1.7694
"2014-11",1.06938742851851,1.8554
"2014-12",0.90581036615426,1.7004
"2015-01",1.08315243686557,1.8994
"2015-02",1.02889527400829,1.8784
"2015-03",1.00965828289621,2.0274
"2015-04",1.02991120629775,1.8454
"2015-05",0.982190433516299,1.7404
"2015-06",0.997505584015206,1.7704
"2015-07",0.927478501657855,1.7084
"2015-08",0.960837245149438,1.7854
"2015-09",0.980684325075249,1.7944
"2015-10",0.950678142431506,1.7874
"2015-11",1.00151845017596,1.8625
"2015-12",1.07256609311287,1.8465
"2016-01",1.05643189048707,1.8255
"2016-02",1.08625598659004,1.8815
"2016-03",1.01895192221525,1.8485
"2016-04",1.0044971537749,1.8335
"2016-05",1.01693959318085,1.8605
"2016-06",1.06293271523485,1.8345
"2016-07",1.08065056678167,1.8405
"2016-08",1.10791360112913,1.8835
"2016-09",1.0648526320663,1.8345
"2016-10",1.05731455677771,1.9005
"2016-11",1.05928094466312,1.9175
"2016-12",1.01060981674806,1.8375
"2017-01",1.03534380461573,1.8185
"2017-02",1.09358554160048,1.9155
"2017-03",1.1341477995877,1.8935
"2017-04",1.11061850085652,1.8875
"2017-05",1.02545689964158,1.8595
"2017-06",1.02043881661188,1.9255
"2017-07",0.97046836634107,1.8065
"2017-08",1.00925014561584,1.8215
"2017-09",0.998156141488032,1.6865
"2017-10",0.997046096112916,1.7225
"2017-11",1.09977530729878,1.8615
"2017-12",1.117478738658,2.0035
"2018-01",1.10608398673776,1.9685
"2018-02",1.11381093304225,1.9315
"2018-03",1.16388209501978,1.9382
"2018-04",1.08415220803343,1.8438
"2018-05",1.03960496423665,1.8266
"2018-06",1.09297727167416,1.9015
"2018-07",1.05946698058209,1.9165
"2018-08",1.07478044817927,1.9525
"2018-09",1.06164072435912,1.8325
"2018-10",1.04709960342355,1.7945
"2018-11",1.11213539721807,1.8425
"2018-12",1.14039216912012,1.9145
"2019-01",1.15129222630682,1.9835
"2019-02",1.1810337964571,1.9695
"2019-03",1.14516976895323,1.9355
"2019-04",1.14971651112706,1.8735
"2019-05",1.06974240760248,1.7465
"2019-06",1.01199226422086,1.7275
"2019-07",1.03445547661205,1.8165
"2019-08",1.05865458903649,1.8545
"2019-09",1.08040128693551,1.9635
"2019-10",1.09895584735698,1.9295
"2019-11",1.10827272727273,1.8825
"2019-12",1.15980767834331,1.9335
"2020-01",1.1317681106156,2.0295
"2020-02",1.17060039524745,1.9675
"2020-03",1.14977508348836,1.9865
"2020-04",1.11859756657165,2.5135
"2020-05",1.09297405166812,1.8795
"2020-06",1.07569441344662,1.8745
"2020-07",1.080513179771,1.7825
"2020-08",1.1175246162465,1.8855
"2020-09",1.11895245560006,1.9075
