x,Curve1
18998.86,1.50676
19019.41,1.53604
19047.2,1.57998
19068.89,1.60251
19086.4,1.60927
19111.91,1.59127
19133.22,1.57326
19152.25,1.553
19169.76,1.55075
19185.75,1.55301
19198.69,1.57216
19214.3,1.59694
19229.14,1.6251
19242.84,1.64988
19255.02,1.67466
19271.01,1.69044
19280.53,1.69044
19293.09,1.69045
19308.31,1.67244
19320.87,1.65668
19330.77,1.63979
19340.67,1.62403
19351.32,1.61052
19361.22,1.60264
19371.88,1.60264
19386.34,1.60716
19401.19,1.63194
19417.17,1.6646
19427.45,1.69051
19438.11,1.72092
19450.29,1.74682
19462.47,1.77048
19478.84,1.77949
19495.58,1.77049
19504.72,1.75698
19514.24,1.73559
19524.89,1.71645
19532.13,1.69619
19540.12,1.67817
19547.73,1.66466
19556.49,1.6489
19563.72,1.63652
19575.52,1.63427
19587.32,1.64553
19596.07,1.66243
19603.68,1.6782
19611.3,1.6996
19619.67,1.72325
19627.66,1.75253
19634.9,1.78294
19641.75,1.81335
19650.5,1.83363
19659.64,1.85841
19669.91,1.8753
19678.29,1.87756
19690.09,1.87081
19700.37,1.85279
19708.74,1.83027
19716.35,1.81226
19723.2,1.78298
19731.58,1.75258
19736.53,1.73344
19743,1.71092
19749.47,1.69291
19757.46,1.67602
19767.36,1.66026
19774.97,1.65801
19788.29,1.66927
19798.95,1.6918
19807.32,1.72221
19815.7,1.756
19821.79,1.78641
19831.3,1.83371
19838.92,1.86524
19846.53,1.89903
19853,1.92944
19860.23,1.95759
19870.89,1.97787
19880.02,1.98688
19891.44,1.97337
19896.77,1.95761
19902.86,1.93509
19910.09,1.91032
19916.18,1.88217
19922.66,1.85064
19928.36,1.82136
19932.17,1.79434
19936.74,1.77182
19942.07,1.74705
19947.78,1.72115
19953.49,1.69975
19958.43,1.68399
19963.76,1.66597
19968.71,1.65584
19976.71,1.65134
19986.22,1.65585
19994.21,1.68288
20001.83,1.70203
20007.92,1.73018
20011.72,1.75946
20014.77,1.77974
20021.24,1.8124
20026.57,1.85181
20032.66,1.89574
20039.51,1.93515
20044.84,1.97907
20052.07,2.01737
20058.16,2.05453
20065.77,2.08269
20076.05,2.10747
20086.33,2.10071
20096.6,2.07594
20102.69,2.04667
20107.64,2.02302
20112.21,1.99262
20116.4,1.9701
20120.97,1.93519
20125.15,1.90253
20130.48,1.85974
20135.43,1.82484
20139.62,1.79781
20143.04,1.76628
20146.85,1.73813
20151.42,1.71561
20156.36,1.68858
20163.22,1.65818
20170.07,1.62891
20179.58,1.61765
20194.05,1.6368
20205.09,1.68861
20212.7,1.7314
20219.55,1.78433
20224.88,1.83501
20227.92,1.86429
20232.49,1.90483
20237.06,1.95439
20241.63,2.00732
20246.57,2.05236
20253.05,2.09966
20259.52,2.1571
20265.61,2.20215
20270.55,2.22692
20279.31,2.25058
20286.16,2.25058
20293.39,2.24157
20300.24,2.20892
20304.81,2.17401
20310.52,2.14586
20314.33,2.10532
20321.18,2.04789
20326.51,1.98596
20330.31,1.93979
20335.64,1.89362
20338.69,1.85083
20342.87,1.80466
20346.68,1.76299
20349.73,1.73034
20352.77,1.69543
20355.82,1.67066
20361.14,1.63575
20365.71,1.60872
20369.52,1.5862
20374.09,1.56256
20379.8,1.54679
20388.17,1.54004
20396.92,1.56482
20403.4,1.58847
20409.49,1.63014
20413.67,1.66055
20418.24,1.70109
20422.81,1.75064
20425.47,1.7878
20429.66,1.83623
20434.23,1.88691
20438.79,1.94659
20442.6,1.9984
20447.17,2.04908
20450.21,2.11214
20454.78,2.15944
20458.59,2.21237
20464.3,2.27318
20468.86,2.32273
20474.95,2.37003
20479.52,2.40044
20490.56,2.42635
20497.79,2.41058
20504.26,2.38131
20507.69,2.36217
20510.73,2.33176
20513.78,2.2946
20519.11,2.25181
20522.91,2.20564
20525.2,2.16172
20528.62,2.12231
20531.67,2.0829
20534.33,2.04574
20537,1.99619
20539.28,1.94213
20542.33,1.91736
20544.99,1.87344
20547.27,1.83178
20549.18,1.81263
20551.84,1.76984
20554.89,1.73831
20557.17,1.69102
20560.98,1.6516
20566.31,1.59868
20569.35,1.55476
20574.68,1.50859
20579.25,1.47031
20583.82,1.44553
20592.19,1.42527
20605.13,1.44329
20613.89,1.49059
20621.5,1.55816
20627.59,1.646
20634.82,1.73835
20640.91,1.83632
20645.86,1.91065
20651.19,2.00187
20654.99,2.09421
20659.94,2.16291
20664.13,2.25413
20668.7,2.31945
20671.74,2.37237
20675.55,2.4208
20680.12,2.48837
20684.68,2.53679
20689.63,2.58297
20693.82,2.60662
20699.53,2.61563
20707.9,2.60099
20712.85,2.57284
20717.04,2.54469
20721.22,2.50528
20724.27,2.45686
20728.46,2.40281
20731.5,2.35889
20734.17,2.30371
20737.21,2.24065
20740.26,2.18997
20742.54,2.1438
20744.82,2.09651
20748.25,2.04808
20750.53,2.00304
20754.34,1.91183
20757.38,1.84426
20760.43,1.78007
20765,1.71138
20769.18,1.63593
20773.75,1.55823
20777.18,1.50193
20780.6,1.45125
20784.41,1.40959
20787.45,1.3713
20792.02,1.33076
20795.83,1.30712
20800.02,1.27784
20805.72,1.26545
20812.2,1.2632
20819.05,1.28686
20826.28,1.32965
20831.61,1.37808
20836.94,1.43889
20841.12,1.49858
20846.07,1.57741
20849.5,1.63935
20852.16,1.70692
20854.83,1.76998
20859.01,1.83304
20861.68,1.89386
20865.1,1.97607
20867.77,2.03913
20870.05,2.09882
20873.1,2.15287
20875.76,2.21594
20878.05,2.27562
20881.47,2.33643
20885.28,2.38824
20887.56,2.46594
20891.37,2.53464
20895.17,2.61797
20901.26,2.70018
20905.83,2.75874
20910.02,2.80041
20921.44,2.82744
20926.77,2.78803
20931.71,2.74749
20936.66,2.7002
20941.23,2.63038
20945.04,2.56056
20948.08,2.49187
20951.13,2.42543
20954.17,2.35448
20957.22,2.27003
20960.26,2.20809
20963.31,2.14278
20965.59,2.07183
20967.87,2.02341
20970.16,1.94909
20972.44,1.89503
20974.73,1.83422
20977.77,1.76891
20980.82,1.69459
20984.62,1.61801
20988.43,1.55833
20991.47,1.4795
20994.52,1.42207
20996.8,1.34099
20999.47,1.30946
21003.27,1.27005
21005.94,1.22725
21008.98,1.18559
21012.79,1.14618
21016.98,1.11127
21020.4,1.07861
21023.45,1.05834
21029.92,1.04258
21038.29,1.05835
21044.38,1.09552
21049.33,1.13043
21056.18,1.19462
21063.03,1.30048
21068.74,1.40746
21073.31,1.5167
21077.88,1.61355
21082.06,1.69576
21085.49,1.80499
21088.92,1.92211
21092.72,2.00883
21095.77,2.1023
21098.05,2.19013
21101.48,2.27572
21104.9,2.35343
21107.95,2.45478
21112.13,2.53136
21117.46,2.64172
21122.41,2.74758
21125.08,2.85456
21129.64,2.90749
21133.83,2.97393
21140.68,3.03362
21145.25,3.037
21151.72,3.01336
21155.53,2.98295
21159.71,2.93228
21162,2.87823
21165.04,2.84444
21168.09,2.80165
21170.37,2.73859
21173.8,2.66765
21177.6,2.57193
21180.27,2.49535
21183.31,2.42215
21186.74,2.31292
21189.78,2.22734
21192.07,2.13725
21195.49,2.04378
21199.3,1.95369
21201.96,1.86586
21205.01,1.76338
21208.05,1.68455
21211.86,1.59559
21213.38,1.48974
21216.43,1.45145
21219.09,1.3546
21223.66,1.26902
21225.94,1.20483
21229.37,1.13839
21232.41,1.06519
21235.08,1.01452
21238.89,0.96722
21241.55,0.92218
21245.36,0.88615
21250.3,0.83998
21254.11,0.80282
21259.06,0.77917
21265.15,0.76228
21269.34,0.75327
21279.61,0.77468
21285.32,0.82423
21291.41,0.88279
21297.5,0.96725
21302.83,1.03257
21306.64,1.11478
21311.21,1.19811
21315.01,1.28595
21318.82,1.36929
21322.62,1.47402
21325.67,1.56636
21329.48,1.65645
21331.76,1.73528
21334.81,1.85691
21338.99,1.98191
21341.28,2.12268
21345.84,2.23191
21348.89,2.34565
21352.69,2.45038
21356.12,2.55399
21358.4,2.64633
21361.45,2.74543
21364.11,2.83778
21367.54,2.92562
21370.97,3.00107
21374.39,3.06976
21377.06,3.12157
21380.48,3.18238
21383.53,3.21279
21389.62,3.25671
21400.27,3.21392
21404.84,3.14635
21410.93,3.05401
21414.36,2.92789
21419.69,2.80289
21423.49,2.68915
21427.3,2.60244
21429.58,2.49884
21432.63,2.37384
21435.29,2.26574
21438.72,2.13736
21441.76,2.03151
21445.57,1.88849
21450.52,1.73309
21453.56,1.63511
21456.61,1.53489
21459.27,1.43354
21461.94,1.34007
21465.36,1.26012
21469.17,1.15764
21472.98,1.08557
21477.16,0.9572
21480.97,0.87274
21486.68,0.76238
21490.1,0.67905
21495.05,0.6036
21496.19,0.57207
21501.14,0.52365
21504.19,0.46622
21508.75,0.42343
21514.08,0.35699
21518.65,0.29618
21524.74,0.25452
21532.73,0.20272
21541.11,0.1543
21547.2,0.12953
21555.57,0.10588
21563.57,0.08561
21574.22,0.06422
21587.55,0.03945
21603.53,0.0237
21622.94,0.0147
21648.07,0.00795
